Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,,,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Bottom 3,3,2,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Called Strike,,,010,-0.6701,0.286333286,
Bottom 3,3,2,1,1,'1-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Ball,,,010,-0.847837143,0.066517032,
Bottom 3,3,2,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Fastball,Ball,,,010,1.240574286,0.136858233,
Bottom 3,3,2,3,1,'3-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Called Strike,,,010,-0.692317143,0.119272933,
Bottom 3,3,2,3,2,'3-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Single,,,010,0.685145714,0.47977159,
Bottom 3,3,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Ball,,,010,-0.35906,1.112842403,
Bottom 3,3,2,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Swinging Strike,,,010,0.018631429,0.629246643,
Bottom 3,3,2,1,1,'1-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Ball,,,010,1.329442857,1.244732155,
Bottom 3,3,2,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Offspeed,Swinging Strike,,,010,-0.181322857,0.119272933,
Bottom 3,3,2,2,2,'2-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Strikeout Looking,,,010,0.718471429,0.281936961,
Top 4,4,0,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nicholas Kyrose,Taylor Lepard,R,R,Fastball,Called Strike,,,000,-0.225757143,0.875440848,
Top 4,4,0,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nicholas Kyrose,Taylor Lepard,R,R,Fastball,Swinging Strike,,,000,-0.04802,0.787514346,
Top 4,4,0,0,2,'0-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nicholas Kyrose,Taylor Lepard,R,R,Fastball,Strikeout Swinging,,,000,0.774014286,0.725965795,
Top 4,4,1,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Yosvani Penalver,Taylor Lepard,L,R,Fastball,Called Strike,,,000,0.618494286,0.286333286,
Top 4,4,1,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Yosvani Penalver,Taylor Lepard,L,R,Fastball,Single,Line Drive,Pull,000,0.685145714,0.189614134,
Top 4,4,1,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nick Parsons,Taylor Lepard,R,R,Fastball,Swinging Strike,,,100,0.662928571,0.558905442,
Top 4,4,1,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nick Parsons,Taylor Lepard,R,R,Fastball,Ball,,,100,-0.225757143,1.165598304,
